--------------------------------------------------
-- Xero Detailed Dump Output (Sequential)
--------------------------------------------------
-- Game: ⚔️Build to Defend Loot
-- PlaceId: 96280251181127
-- JobId: c5acaac8-4187-4d97-876d-1c8c0430751f
-- Time: 2026-09-13 23:06:55
--------------------------------------------------
-- [Service]: Workspace
Workspace [Workspace] -- [Model] | FullPath: Workspace | Props: {PrimaryPart=None, ChildrenCount=25} | Attrs: {KM_IVF_GLOBAL_SAFE=0, 0, 0, KM_IVF_Y_AXIS_P=240, KM_IVF_X_AXIS_N=0, KM_IVF_Z_AXIS_P=0, KM_IVF_Z_AXIS_N=0, KM_IVF_Y_AXIS_N=-6, KM_IVF_X_AXIS_P=0}
 Camera [Camera] -- [Camera] | FullPath: Workspace.Camera | Attrs: {SHAKE_OFFSET=0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, SHAKE_SIZE=0}
  AudioListener [AudioListener] -- [AudioListener] | FullPath: Workspace.Camera.AudioListener
   Wire [Wire] -- [Wire] | FullPath: Workspace.Camera.AudioListener.Wire
  Folder [Folder] -- [Folder] | FullPath: Workspace.Camera.Folder
 CollectCoin [Sound] -- [Sound] | FullPath: Workspace.CollectCoin
 Gameplay [Folder] -- [Folder] | FullPath: Workspace.Gameplay
  ConveyorDestroyer [Part] -- [Part] | FullPath: Workspace.Gameplay.ConveyorDestroyer | Props: {Position=(-30.50, 0.50, 253.50), Size=(18.00, 16.00, 2.00), Anchored=true, CanCollide=false, Material=Plastic, Transparency=1.00, Reflectance=0}
  ItemSpawnPoint [Part] -- [Part] | FullPath: Workspace.Gameplay.ItemSpawnPoint | Props: {Position=(-30.53, -7.50, -356.47), Size=(18.00, 1.00, 2.00), Anchored=false, CanCollide=true, Material=Plastic, Transparency=1.00, Reflectance=0}
 Map [Folder] -- [Folder] | FullPath: Workspace.Map
  Sand [Folder] -- [Folder] | FullPath: Workspace.Map.Sand
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-273.00, -16.00, 233.50), Size=(56.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-292.00, -16.00, -124.00), Size=(19.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-280.00, -15.00, 199.50), Size=(10.00, 1.00, 17.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(-114.00, -16.00, 277.50), Size=(10.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(202.00, -16.00, 263.00), Size=(17.00, 1.00, 3.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(14.50, -15.00, 267.00), Size=(1.00, 1.00, 10.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
   Sand [Part] -- [Part] | FullPath: Workspace.Map.Sand.Sand | Props: {Position=(221.50, -15.00, 7.50), Size=(2.00, 1.00, 58.00), Anchored=true, CanCollide=true, Material=Plastic, Transparency=0.00, Reflectance=0} | Attrs: {Material=GRASS}
